stock_id,stock_name,industry_category,actual_months,WMAPE_numeric_valid,SMAPE_numeric_valid,MedianAPE_numeric_valid,MAPE_numeric_valid,WMAPE,SMAPE,MedianAPE,MAPE,RMSE,MAE,Bias,UnderestimateRate,DirectionAccuracy,sarima_months,fallback_months,selected_order,selected_seasonal_order,best_aic,runtime_seconds
4711,永純,化學工業,12,15.571225850695427,15.94803416412203,15.538375152182846,15.717384609981908,15.571,15.948,15.538,15.717,11665.896,9459.883,-573.736,50.0,75.0,12,0,"(0, 1, 1)","(0, 1, 1, 12)",7.231883297044893,0.6884747999720275
1541,錩泰,電機機械,12,15.584081020430768,15.718806522973045,12.7680497439361,15.611752416976035,15.584,15.719,12.768,15.612,55028.126,47135.417,7477.564,33.333,83.333,12,0,"(0, 1, 1)","(1, 1, 0, 12)",-7.488039711822978,0.620440199971199
1470,大統新創,紡織纖維,12,15.584201235634776,15.02228823598182,14.294019514749074,15.028500283137236,15.584,15.022,14.294,15.029,12558.98,10437.662,-1743.013,58.333,75.0,12,0,"(1, 1, 1)","(0, 1, 1, 12)",12.654766922335355,1.2312384000979364
3528,安馳,電子通路業,12,15.624463299867186,16.165465812095043,15.596001160147466,14.526858586521541,15.624,16.165,15.596,14.527,146486.448,116653.649,-103852.716,75.0,50.0,12,0,"(0, 1, 1)","(1, 1, 0, 12)",-52.14546090914653,0.7865365000907332
8929,富堡,其他,12,15.626088830800134,15.746486453824685,9.165376465378216,15.80954324003442,15.626,15.746,9.165,15.81,12051.198,9389.443,-286.738,50.0,58.333,12,0,"(0, 1, 1)","(0, 1, 1, 12)",-27.591412255600275,0.845619099913165
6113,亞矽,電子通路業,12,15.633727106961532,16.2782096062659,9.29492538461107,15.458945807359584,15.634,16.278,9.295,15.459,12199.894,8355.862,-702.156,41.667,58.333,12,0,"(1, 1, 0)","(0, 1, 1, 12)",19.68154593419419,0.8666017998475581
2331,精英,電腦及週邊設備業,12,15.650994831053982,14.76322726527122,13.33563865705879,15.349639506887257,15.651,14.763,13.336,15.35,345768.541,262312.16,23207.544,50.0,66.667,12,0,"(0, 1, 1)","(0, 1, 1, 12)",-25.050564435639576,0.675459299935028
4557,永新-KY,汽車工業,12,15.687350987184482,15.179078053711889,17.392389209939353,16.419404796056167,15.687,15.179,17.392,16.419,62894.946,52194.941,33695.875,33.333,75.0,12,0,"(1, 1, 1)","(0, 1, 1, 12)",1.8560231893696424,0.901134799933061
5315,光聯,光電業,12,15.690408334815533,15.120861643803526,13.463921400928042,15.749180587566695,15.69,15.121,13.464,15.749,29993.433,26196.353,11077.883,33.333,41.667,12,0,"(1, 1, 0)","(0, 1, 0, 12)",-81.0361704741969,0.5869549999479204
2867,三商壽,金融保險,10,15.70408519512963,16.165411306495766,13.068968221225303,16.635953258810787,15.704,16.165,13.069,16.636,2011903.15,1850485.665,-54477.907,60.0,33.333,5,7,"(1, 1, 1)","(0, 1, 1, 12)",3.75076865620246,0.5459922000300139
8255,朋程,電機機械,12,15.713218932050221,15.067482469872406,11.944961932207706,15.533347976074033,15.713,15.067,11.945,15.533,127854.611,106142.336,20480.865,41.667,25.0,12,0,"(1, 1, 1)","(0, 1, 1, 12)",-64.43053560610328,1.6040384999942034
6953,家碩,半導體業,12,15.719011521974357,15.664762064199136,6.967578028799924,15.941814052067036,15.719,15.665,6.968,15.942,29559.264,17347.75,-6495.75,66.667,50.0,0,12,,,,0.0243643000721931
6965,中傑-KY,運動休閒,12,15.77954463654665,14.72691032074819,11.146392708794938,15.831810241271482,15.78,14.727,11.146,15.832,369828.146,284862.583,113825.917,41.667,0.0,0,12,,,,0.0317592001520097
2754,亞洲藏壽司,觀光餐旅,12,15.78665297898537,15.37874914598805,12.232853963746868,15.421799235412026,15.787,15.379,12.233,15.422,85560.238,75092.504,16662.164,33.333,58.333,12,0,"(0, 1, 1)","(0, 1, 1, 12)",50.90288766144741,0.520168200135231
3669,圓展,電子工業,12,15.810472158052221,15.348867535284066,11.606889443781334,14.841297389431093,15.81,15.349,11.607,14.841,46632.053,33338.66,-7210.285,50.0,66.667,12,0,"(0, 1, 1)","(0, 1, 1, 12)",-29.13171826844561,1.2565962001681328
6120,達運,電子工業,12,15.812200281821523,15.669897575446548,12.363199148927414,16.418747783979455,15.812,15.67,12.363,16.419,263889.31,225396.537,27085.672,41.667,58.333,12,0,"(0, 1, 1)","(0, 1, 1, 12)",-10.12573691688689,1.3403888999018818
6523,達爾膚,生技醫療業,12,15.83450204369205,15.326655423692761,12.956537491691913,16.009316241958473,15.835,15.327,12.957,16.009,20278.464,15415.706,-419.798,33.333,75.0,12,0,"(0, 1, 1)","(0, 1, 1, 12)",1.927072632441572,0.8061983999796212
6156,松上,電子零組件業,12,15.887007068155695,15.953411908661758,15.26330989433986,15.887500349149985,15.887,15.953,15.263,15.888,69878.615,65469.469,8643.283,33.333,41.667,12,0,"(0, 1, 1)","(0, 1, 1, 12)",-40.08873485866178,0.9059498000424356
6923,中台,綠能環保,12,15.88928852071989,13.983363085133279,9.472914968663918,15.90195683176244,15.889,13.983,9.473,15.902,20727.934,15300.167,13304.0,16.667,33.333,0,12,,,,0.0310123001690953
5439,高技,電子零組件業,12,15.894020165183232,17.151213329937764,14.986856216975442,16.325615096179767,15.894,17.151,14.987,16.326,140172.981,127729.485,-36540.723,58.333,50.0,12,0,"(1, 1, 0)","(0, 1, 1, 12)",-74.68270120149022,0.8985295000020415
6470,宇智,通信網路業,12,15.937841162234056,15.860634516335862,14.068966284475003,16.80844574424768,15.938,15.861,14.069,16.808,30565.161,25961.628,10198.54,25.0,50.0,12,0,"(1, 1, 0)","(0, 1, 1, 12)",-31.222915521668952,1.764415399869904
8390,金益鼎,綠能環保類,12,15.954826196727435,15.905082208595122,17.074959486081493,16.31829912789306,15.955,15.905,17.075,16.318,69085.1,61624.732,8162.731,50.0,41.667,12,0,"(0, 1, 1)","(0, 1, 1, 12)",-29.47979621590664,0.8840799001045525
3030,德律,電子工業,12,16.042058441744416,16.45870342858995,15.8408046234504,15.741034494536102,16.042,16.459,15.841,15.741,137873.718,113195.919,-26129.751,50.0,75.0,12,0,"(0, 1, 1)","(0, 1, 1, 12)",13.223696676051995,0.6629868999589235
3325,旭品,電腦及週邊設備業,12,16.065701916792992,16.879127201743948,13.61877001775618,17.405664750736662,16.066,16.879,13.619,17.406,20289.75,16965.127,-2152.726,58.333,66.667,12,0,"(0, 1, 1)","(0, 1, 1, 12)",39.77585983963945,0.561427199980244
4127,天良,生技醫療業,12,16.069024774648796,17.26367516251762,13.54541747946247,16.08219508813757,16.069,17.264,13.545,16.082,7962.736,6884.586,-2860.226,58.333,75.0,12,0,"(0, 1, 1)","(0, 1, 1, 12)",-14.475772172810093,0.9863720999564976
4804,大略-KY,觀光餐旅,12,16.070422861198765,16.554922874945863,12.013345702501466,16.459744738457406,16.07,16.555,12.013,16.46,2176.685,1735.833,-403.667,66.667,25.0,0,12,,,,0.0209365000482648
2885,元大金,金融保險,12,16.10216398689012,15.95959138527205,11.109218404510804,16.085744170368752,16.102,15.96,11.109,16.086,2299366.977,1723274.187,203061.318,41.667,66.667,12,0,"(1, 1, 0)","(0, 1, 0, 12)",-20.336542377888343,0.3536763000302017
3516,亞帝歐,光電業,12,16.10608649498438,16.083367612145175,14.631529595276271,17.042694074501128,16.106,16.083,14.632,17.043,18154.672,14020.321,590.015,41.667,58.333,12,0,"(0, 1, 1)","(0, 1, 1, 12)",23.324182024329076,0.6779062999412417
6951,青新-創,綠能環保,12,16.11207253083924,16.55569040227155,14.782178619452024,15.100208300095389,16.112,16.556,14.782,15.1,14139.465,11622.417,-10325.25,91.667,50.0,0,12,,,,0.0273230001330375
2241,艾姆勒,汽車工業,12,16.120856876936852,16.230895934070517,13.95908116029081,15.943673342612485,16.121,16.231,13.959,15.944,12719.553,10518.644,-3540.981,50.0,58.333,12,0,"(0, 1, 1)","(1, 1, 0, 12)",-58.12943016682976,0.572336700046435
6791,虎門科技,資訊服務業,12,16.149609553919543,17.467039076726497,14.494016415169058,15.91052174196092,16.15,17.467,14.494,15.911,11791.399,10842.0,-10842.0,100.0,58.333,0,12,,,,0.0224669999442994
