stock_id,stock_name,industry_category,actual_months,WMAPE,SMAPE,MedianAPE,MAPE,RMSE,MAE,Bias,UnderestimateRate,DirectionAccuracy,WMAPE_numeric_valid,SMAPE_numeric_valid,MedianAPE_numeric_valid,MAPE_numeric_valid,RMSE_numeric_valid,MAE_numeric_valid,Bias_numeric_valid,UnderestimateRate_numeric_valid,DirectionAccuracy_numeric_valid,sarima_months,fallback_months,selected_order,selected_seasonal_order,best_aic,runtime_seconds
6722,輝創,電子工業,2,0.697,0.695,0.697,0.697,2897.0,2897.0,2897.0,0.0,0.0,0.6970678395949933,0.6946467600135716,0.6970678395949933,0.6970678395949933,2897.0,2897.0,2897.0,0.0,0.0,0,12,,,,0.017634900053963
5604,中連,其他,12,0.962,0.974,0.602,0.966,191.693,127.764,-62.007,66.667,66.667,0.9618593298323198,0.9741337895326027,0.6020591422237184,0.9658175294711484,191.69324362888776,127.76377478162703,-62.00710628045181,66.66666666666666,66.66666666666666,12,0,"(0, 1, 1)","(1, 1, 0, 12)",-184.70425364418253,1.2995867000427097
1623,大東電,電器電纜,2,1.426,1.436,1.426,1.426,8755.0,8755.0,-8755.0,100.0,0.0,1.4259816959653921,1.4362218261425181,1.4259816959653921,1.4259816959653921,8755.0,8755.0,-8755.0,100.0,0.0,0,12,,,,0.0116409000474959
6146,耕興,其他電子類,12,1.483,1.505,1.174,1.492,7812.123,5554.696,-1363.213,41.667,50.0,1.483052638278105,1.5050288955360323,1.1737541720619111,1.4921969288885781,7812.122666558396,5554.6957964071335,-1363.2133932575962,41.66666666666667,50.0,12,0,"(1, 1, 0)","(0, 1, 0, 12)",-133.49449175082538,0.5830335998907685
6721,信實,其他,12,1.961,1.976,1.214,1.992,8802.369,5926.291,1854.197,25.0,75.0,1.9609410151261764,1.9763308645406281,1.213861185261721,1.992025795785623,8802.368655432803,5926.290571213826,1854.1968902690376,25.0,75.0,12,0,"(0, 1, 1)","(0, 1, 0, 12)",-213.0022156465188,0.914676700020209
8454,富邦媒,數位雲端,12,1.962,1.942,1.163,1.957,254934.143,177643.233,76460.221,25.0,91.667,1.9617178732314091,1.9418281587398463,1.1628361809582934,1.9569446389984857,254934.14297014682,177643.2328640436,76460.2211141424,25.0,91.66666666666666,12,0,"(1, 1, 0)","(0, 1, 0, 12)",-150.82567025594548,0.7033323999494314
5871,中租-KY,其他,12,2.047,2.034,1.584,2.06,223783.724,166397.676,60042.375,50.0,83.333,2.0465571338129327,2.034101722818587,1.584128625920734,2.059921943103578,223783.72391663564,166397.67618897153,60042.374778394274,50.0,83.33333333333334,12,0,"(0, 1, 1)","(1, 1, 0, 12)",-212.10977915035048,1.1878096000291407
3045,台灣大,電子工業,12,2.158,2.123,1.657,2.117,463129.643,357470.708,-54530.514,50.0,91.667,2.158155354522477,2.122588439645157,1.657071585472111,2.116828494951099,463129.64321491984,357470.70757573115,-54530.51383786354,50.0,91.66666666666666,12,0,"(1, 1, 0)","(0, 1, 0, 12)",-184.5904027179573,0.6230174999218434
5287,數字,數位雲端類,12,2.176,2.202,2.074,2.209,4569.663,4204.889,869.757,41.667,91.667,2.1761406298520254,2.2020135800207177,2.073863156245267,2.209271796271778,4569.66274457766,4204.889441393648,869.7570086009824,41.66666666666667,91.66666666666666,12,0,"(1, 1, 0)","(0, 1, 0, 12)",-208.48703771649545,0.6117702000774443
2433,互盛電,其他電子業,12,2.231,2.235,2.211,2.231,5941.605,5054.471,-190.84,41.667,66.667,2.230917413053234,2.234576885174916,2.210915922659751,2.2312149214600394,5941.6046804458365,5054.470600492682,-190.83994353935364,41.66666666666667,66.66666666666666,12,0,"(0, 1, 1)","(0, 1, 0, 12)",-214.7635160344925,0.7633003999944776
2912,統一超,貿易百貨,12,2.321,2.364,1.894,2.399,914834.781,678249.411,136465.093,50.0,91.667,2.320556088937419,2.36371421217924,1.894286496078736,2.3986106237526217,914834.7810855748,678249.4108888177,136465.09298998304,50.0,91.66666666666666,12,0,"(1, 1, 1)","(0, 1, 0, 12)",-210.37566868413103,0.6685184999369085
3293,鈊象,文化創意業,12,2.328,2.305,2.124,2.338,53916.093,42734.766,24942.345,25.0,83.333,2.3275485009975676,2.3051575684688284,2.1244323806214154,2.337692326777771,53916.093363780754,42734.76610906201,24942.344790464344,25.0,83.33333333333334,12,0,"(1, 1, 0)","(0, 1, 0, 12)",-156.5022983266212,0.5032489001750946
