WMAPE區間,股票數,占比(%)
0-5%,122,6.230847803881511
5-10%,521,26.608784473953012
10-15%,477,24.361593462717057
15-20%,283,14.453524004085802
20-30%,232,11.8488253319714
30-50%,154,7.865168539325842
50%以上,169,8.631256384065372
