cohort,stock_count,prediction_count,RMSE,MAE,MAPE,MedianAPE,WMAPE,SMAPE,Bias,UnderestimateRate,DirectionAccuracy
全部可評估月份（原始）,1958,22906,6.094177489294296e+16,402661837180924.0,22871197193.85316,10.901628258368527,18157948465.96906,20.629518598152956,402661836906923.6,48.86492622020431,62.86763099243981
完整12個月股票（原始）,1867,22399,6.1627622261662904e+16,411776063307848.75,23385996142.797012,10.800607888747923,18622323366.7947,20.31010684467562,411776063046954.0,48.783427831599624,64.02071521050047
全部可評估月份（排除數值飽和）,1958,22905,2165274.0595649374,245067.35797584208,3444.5946396008,10.901253087799805,11.051161019141912,20.62167897921058,-28944.903868411013,48.867059593975114,62.87037846342103
完整12個月股票（排除數值飽和）,1867,22398,2138627.9990003137,231249.35090369923,3518.7095256032117,10.799390712602733,10.458017759835323,20.302075293557962,-29656.791532625695,48.785605857665864,64.0235735333512
