forecast_method,stock_count,prediction_count,RMSE,MAE,MAPE,MedianAPE,WMAPE,SMAPE,Bias,UnderestimateRate,DirectionAccuracy
sarima,1737,20774,2219544.476503115,242912.0791584029,3785.593586984991,10.511606145601583,10.296747205499932,19.53554938302214,-26858.147834117353,47.83383074997593,65.50495812072784
seasonal_naive_fallback,232,2131,1539027.893582432,266078.03941811353,68.28206561982078,16.797162014307272,31.76151859892497,31.324280483966792,-49287.592679493195,58.939465039887374,36.907020872865274
