date,stock_id,country,revenue,revenue_month,revenue_year,revenue_available_date
2025-02-01,1201,Taiwan,1529280000,2,2025,2025-03-10
2025-03-01,1201,Taiwan,1773075000,3,2025,2025-04-10
2025-04-01,1201,Taiwan,1856995000,4,2025,2025-05-10
2025-05-01,1201,Taiwan,1923030000,5,2025,2025-06-10
2025-06-01,1201,Taiwan,1736584000,6,2025,2025-07-10
2025-07-01,1201,Taiwan,1850418000,7,2025,2025-08-10
2025-08-01,1201,Taiwan,1974741000,8,2025,2025-09-10
2025-09-01,1201,Taiwan,2160653000,9,2025,2025-10-10
2025-10-01,1201,Taiwan,1801807000,10,2025,2025-11-10
2025-11-01,1201,Taiwan,1651571000,11,2025,2025-12-10
2025-12-01,1201,Taiwan,1670916000,12,2025,2026-01-10
2025-01-01,1203,Taiwan,540262000,1,2025,2025-02-10
2025-02-01,1203,Taiwan,470623000,2,2025,2025-03-10
2025-03-01,1203,Taiwan,521527000,3,2025,2025-04-10
2025-04-01,1203,Taiwan,498590000,4,2025,2025-05-10
2025-05-01,1203,Taiwan,481004000,5,2025,2025-06-10
2025-06-01,1203,Taiwan,432438000,6,2025,2025-07-10
2025-07-01,1203,Taiwan,439000000,7,2025,2025-08-10
2025-08-01,1203,Taiwan,470431000,8,2025,2025-09-10
2025-09-01,1203,Taiwan,448993000,9,2025,2025-10-10
2025-10-01,1203,Taiwan,448604000,10,2025,2025-11-10
2025-11-01,1203,Taiwan,434162000,11,2025,2025-12-10
2025-12-01,1203,Taiwan,435027000,12,2025,2026-01-10
2025-01-01,1210,Taiwan,8684590000,1,2025,2025-02-10
2025-02-01,1210,Taiwan,8087375000,2,2025,2025-03-10
2025-03-01,1210,Taiwan,8770327000,3,2025,2025-04-10
2025-04-01,1210,Taiwan,8722030000,4,2025,2025-05-10
2025-05-01,1210,Taiwan,8229515000,5,2025,2025-06-10
2025-06-01,1210,Taiwan,7980681000,6,2025,2025-07-10
2025-07-01,1210,Taiwan,7933720000,7,2025,2025-08-10
2025-08-01,1210,Taiwan,8556083000,8,2025,2025-09-10
2025-09-01,1210,Taiwan,8731543000,9,2025,2025-10-10
2025-10-01,1210,Taiwan,8433533000,10,2025,2025-11-10
2025-11-01,1210,Taiwan,8857963000,11,2025,2025-12-10
2025-12-01,1210,Taiwan,9592082000,12,2025,2026-01-10
2025-01-01,1213,Taiwan,22379000,1,2025,2025-02-10
2025-02-01,1213,Taiwan,24067000,2,2025,2025-03-10
2025-03-01,1213,Taiwan,19695000,3,2025,2025-04-10
2025-04-01,1213,Taiwan,25157000,4,2025,2025-05-10
2025-05-01,1213,Taiwan,19978000,5,2025,2025-06-10
2025-06-01,1213,Taiwan,23916000,6,2025,2025-07-10
2025-07-01,1213,Taiwan,23287000,7,2025,2025-08-10
2025-08-01,1213,Taiwan,34176000,8,2025,2025-09-10
2025-09-01,1213,Taiwan,34129000,9,2025,2025-10-10
2025-10-01,1213,Taiwan,25876000,10,2025,2025-11-10
2025-11-01,1213,Taiwan,23757000,11,2025,2025-12-10
2025-12-01,1213,Taiwan,20948000,12,2025,2026-01-10
2025-01-01,1215,Taiwan,2331017000,1,2025,2025-02-10
2025-02-01,1215,Taiwan,2030712000,2,2025,2025-03-10
2025-03-01,1215,Taiwan,2335353000,3,2025,2025-04-10
2025-04-01,1215,Taiwan,2386361000,4,2025,2025-05-10
2025-05-01,1215,Taiwan,2448264000,5,2025,2025-06-10
2025-06-01,1215,Taiwan,2226284000,6,2025,2025-07-10
2025-07-01,1215,Taiwan,2371761000,7,2025,2025-08-10
2025-08-01,1215,Taiwan,2333191000,8,2025,2025-09-10
2025-09-01,1215,Taiwan,2389204000,9,2025,2025-10-10
2025-10-01,1215,Taiwan,2347307000,10,2025,2025-11-10
2025-11-01,1215,Taiwan,2482253000,11,2025,2025-12-10
2025-12-01,1215,Taiwan,2749915000,12,2025,2026-01-10
2025-01-01,1216,Taiwan,65755516000,1,2025,2025-02-10
2025-02-01,1216,Taiwan,47574945000,2,2025,2025-03-10
2025-03-01,1216,Taiwan,55935541000,3,2025,2025-04-10
2025-04-01,1216,Taiwan,56208747000,4,2025,2025-05-10
2025-05-01,1216,Taiwan,57625519000,5,2025,2025-06-10
2025-06-01,1216,Taiwan,55738019000,6,2025,2025-07-10
2025-07-01,1216,Taiwan,57114520000,7,2025,2025-08-10
2025-08-01,1216,Taiwan,60796560000,8,2025,2025-09-10
