date,stock_id,EPS,statement_available_date
2021-12-31,1108,0.23,2022-03-31
2022-03-31,1108,0.14,2022-05-15
2022-06-30,1108,0.29,2022-08-14
2022-09-30,1108,0.33,2022-11-14
2022-12-31,1108,0.69,2023-03-31
2023-03-31,1108,0.31,2023-05-15
2023-06-30,1108,0.37,2023-08-14
2023-09-30,1108,0.47,2023-11-14
2023-12-31,1108,0.14,2024-03-31
2024-03-31,1108,0.3,2024-05-15
2024-06-30,1108,0.33,2024-08-14
2024-09-30,1108,0.27,2024-11-14
2024-12-31,1108,0.32,2025-03-31
2025-03-31,1108,0.32,2025-05-15
2025-06-30,1108,1.39,2025-08-14
2025-09-30,1108,0.3,2025-11-14
2025-12-31,1108,0.16,2026-03-31
2026-03-31,1108,0.17,2026-05-15
2026-06-30,1108,0.05,2026-08-14
2019-03-31,1109,0.37,2019-05-15
2019-06-30,1109,0.67,2019-08-14
2019-09-30,1109,0.83,2019-11-14
2019-12-31,1109,0.95,2020-03-31
2020-03-31,1109,0.27,2020-05-15
2020-06-30,1109,0.66,2020-08-14
2020-09-30,1109,0.79,2020-11-14
2020-12-31,1109,1.22,2021-03-31
2021-03-31,1109,0.83,2021-05-15
2021-06-30,1109,0.47,2021-08-14
2021-09-30,1109,0.31,2021-11-14
2021-12-31,1109,0.91,2022-03-31
2022-03-31,1109,0.26,2022-05-15
2022-06-30,1109,-0.06,2022-08-14
2022-09-30,1109,0.63,2022-11-14
2022-12-31,1109,0.34,2023-03-31
2023-03-31,1109,0.42,2023-05-15
2023-06-30,1109,0.6,2023-08-14
2023-09-30,1109,0.34,2023-11-14
2023-12-31,1109,0.65,2024-03-31
2024-03-31,1109,0.35,2024-05-15
2024-06-30,1109,0.55,2024-08-14
2024-09-30,1109,0.18,2024-11-14
2024-12-31,1109,0.3,2025-03-31
2025-03-31,1109,0.25,2025-05-15
2025-06-30,1109,0.24,2025-08-14
2025-09-30,1109,0.31,2025-11-14
2025-12-31,1109,0.23,2026-03-31
2026-03-31,1109,0.01,2026-05-15
2026-06-30,1109,0.14,2026-08-14
2019-03-31,1110,0.05,2019-05-15
2019-06-30,1110,-0.01,2019-08-14
2019-09-30,1110,0.02,2019-11-14
2019-12-31,1110,-0.01,2020-03-31
2020-03-31,1110,-0.05,2020-05-15
2020-06-30,1110,0.02,2020-08-14
2020-09-30,1110,0.04,2020-11-14
2020-12-31,1110,0.03,2021-03-31
2021-03-31,1110,0.03,2021-05-15
2021-06-30,1110,0.05,2021-08-14
2021-09-30,1110,0.14,2021-11-14
2021-12-31,1110,0.04,2022-03-31
2022-03-31,1110,0.05,2022-05-15
2022-06-30,1110,-0.1,2022-08-14
2022-09-30,1110,0.12,2022-11-14
2022-12-31,1110,0.19,2023-03-31
2023-03-31,1110,0.06,2023-05-15
2023-06-30,1110,0.12,2023-08-14
2023-09-30,1110,0.1,2023-11-14
2023-12-31,1110,-0.02,2024-03-31
2024-03-31,1110,0.05,2024-05-15
2024-06-30,1110,0.1,2024-08-14
2024-09-30,1110,0.35,2024-11-14
2024-12-31,1110,0.11,2025-03-31
2025-03-31,1110,0.08,2025-05-15
2025-06-30,1110,-0.01,2025-08-14
2025-09-30,1110,0.21,2025-11-14
2025-12-31,1110,0.07,2026-03-31
2026-03-31,1110,0.05,2026-05-15
2026-06-30,1110,0.29,2026-08-14
2019-03-31,1201,2.21,2019-05-15
2019-06-30,1201,0.1,2019-08-14
2019-09-30,1201,0.25,2019-11-14
2019-12-31,1201,0.12,2020-03-31
2020-03-31,1201,0.05,2020-05-15
2020-06-30,1201,0.16,2020-08-14
2020-09-30,1201,0.42,2020-11-14
2020-12-31,1201,0.42,2021-03-31
