model,evaluation_scope,observations,stock_count,RMSE,MAE,MAPE,MedianAPE,WMAPE,SMAPE,MASE,Bias,UnderestimateRate,DirectionAccuracy
營收公式（含殘差校正）,共同有效股票月份,21994,1877,2306074.38621851,247064.4867696025,576.903135402021,10.55754251238409,10.936296930493981,20.05284124179808,0.6935181761008377,-39980.853670586075,49.267982176957354,62.926252614349366
營收公式（未做殘差校正）,共同有效股票月份,21994,1877,2306074.38621851,247064.4867696025,576.903135402021,10.55754251238409,10.936296930493981,20.05284124179808,0.6935181761008377,-39980.853670586075,49.267982176957354,62.926252614349366
沿用上月營收,共同有效股票月份,21994,1877,2793868.53329469,279007.86296262615,117.86766071968391,10.693591764318242,12.350268851659466,20.049788821382776,0.7558479198094649,-36754.800945712464,51.36400836591798,0.3000818405019551
去年同月營收,共同有效股票月份,21994,1877,4779892.337633274,473110.8940620169,3820.2333703241416,16.00378831701673,20.94222964281684,27.711440085847734,1.006100317760183,-271938.32190597436,54.17386559970902,62.11239428935165
