stock_id,stock_name,industry_category,observations,WMAPE,SMAPE,MedianAPE,MAPE,MAE,RMSE,MASE,Bias,UnderestimateRate,DirectionAccuracy
1475,業旺,紡織纖維,12,15.015725221722557,13.914139612921298,10.404988041727288,15.206400708031492,18396.80355679347,25761.126092484832,0.5490168643028862,8566.807590582986,41.66666666666667,58.333333333333336
8083,瑞穎,電機機械,12,15.019940033221191,14.979219488379393,12.515993903707507,15.375725060844431,17915.496589442268,22705.217270334164,0.3975506717896739,-3625.613471968742,66.66666666666666,58.333333333333336
8446,華研,文化創意業,12,15.02005933813033,14.461492385776367,12.93109518486671,14.93850441825064,13579.297696268526,17771.57176976957,0.5368189393782137,1198.7650185162577,58.333333333333336,58.333333333333336
4906,正文,電子工業,12,15.04455896488179,14.368305892770419,11.806849900588388,14.834743829532258,206796.53985620904,256852.5045395013,0.42296658955243904,95638.33425631402,25.0,50.0
6862,三集瑞-KY,電子零組件業,12,15.065165827514562,13.898889134060946,13.254641823367109,14.6439542908971,28444.514490320533,35710.19962451392,1.034618918009523,8394.867248769317,41.66666666666667,33.33333333333333
1524,耿鼎,汽車工業,12,15.067781448094482,14.65235766195098,11.454604963585592,16.357571611718896,33024.94811019103,44802.075342750584,0.8759417908922048,13762.507943483213,50.0,83.33333333333334
1473,台南,紡織纖維,12,15.078541471692677,16.268433051868293,13.146713668938641,17.142240436043853,83899.22883336512,97459.28077623904,0.6813565421503848,26327.34595345575,25.0,66.66666666666666
1452,宏益,紡織纖維,12,15.079166117971193,14.014453910343752,9.281001182366715,15.289050289619452,17041.40543893102,21882.89273256921,0.34933918677977654,8732.527262294547,33.33333333333333,66.66666666666666
6426,統新,通信網路業,12,15.095117049100711,16.613818536275,12.665217989120336,15.558756326693354,6130.0012409977235,7661.790456664735,0.41487303334557296,-1264.1721631979344,50.0,66.66666666666666
3450,聯鈞,半導體業,12,15.102441999744636,13.95805241579447,6.376230102770912,15.839240638732246,108040.2774802965,166241.98492126967,0.9301108820490476,37427.20113764415,33.33333333333333,66.66666666666666
2382,廣達,電腦及週邊設備業,12,15.129025259244916,14.792583620824987,12.854080711357078,14.513141536376557,26774459.405379057,34316042.88378539,1.1645291059707519,-7808330.628518026,66.66666666666666,50.0
8466,美吉吉-KY,其他,12,15.144452892459928,14.68489602505176,13.474650245627211,15.370184147354715,39920.29825018277,50482.94635539899,0.48663380717691135,21013.554305637062,33.33333333333333,50.0
2743,山富,觀光餐旅,12,15.176353911684853,14.931500652646621,10.606476865287517,14.866122713850627,84971.91232002137,109132.19600742003,0.4366928326694175,-11366.031799303231,58.333333333333336,75.0
6952,大武山,其他,12,15.18067595323887,17.805843765771133,11.189426519596728,16.231131411415248,22251.96131789048,29821.741171266247,1.9288238840091871,-14501.644564093578,66.66666666666666,41.66666666666667
6477,安集,電子工業,12,15.185339355264022,17.01471902730861,12.658776067802194,17.267261972163926,10828.412405249519,13640.150918741096,0.09582442219036615,-2841.869377963225,66.66666666666666,75.0
6472,保瑞,化學生技醫療,12,15.208542888843818,13.817154777163354,7.478731942217938,15.986197677894129,250579.53931795535,379092.6262385904,0.53524489401716,160837.0656654781,33.33333333333333,58.333333333333336
3232,昱捷,電子通路業,12,15.219497190205264,14.874166054794893,13.122673516776523,15.639176112962794,11320.731277904706,13212.248205203561,0.3680735165334496,1843.961973298232,58.333333333333336,75.0
9931,欣高,油電燃氣業,12,15.220485834331166,14.373482694344858,9.180270432726564,15.236062719147164,19889.661589990745,27609.965900345607,0.8702752129200008,4251.742555255118,58.333333333333336,58.333333333333336
3374,精材,半導體業,12,15.288590550363127,15.912284008987992,13.862169793162032,16.611792847334375,92222.62557114854,113076.41188201692,0.7103351788464543,-8857.926612272839,75.0,41.66666666666667
6733,博晟生醫,生技醫療業,12,15.304449270583733,14.44093238616765,6.8436407563056925,15.368369209395846,2835.6211145614798,3796.997903445119,0.7867927386187841,639.2577901554602,50.0,66.66666666666666
6220,岳豐,電子零組件業,12,15.320378976416581,15.42252463236685,11.689230449233262,15.640425080257256,106666.69595428016,126201.46914412682,0.7905239588522915,-9630.05788663216,58.333333333333336,25.0
2349,錸德,電子工業,12,15.330968221020255,15.59850453637516,12.655927660064531,15.441343013217534,95788.11940945788,121073.63938789167,1.2435549803676467,-16187.89154196276,58.333333333333336,66.66666666666666
6568,宏觀,半導體業,12,15.341068653171645,15.694482596573508,15.126685232341133,16.353454129164756,14539.344405356895,17315.9828454812,0.5820560186258695,298.8898148711839,50.0,83.33333333333334
5521,工信,建材營造,12,15.398300139244379,15.849469826424519,14.575409378356301,15.727660920197032,115979.8811615376,136876.31376226354,0.45954208043877304,6551.832039014892,33.33333333333333,58.333333333333336
5011,久陽,鋼鐵工業,12,15.401632195975026,16.042890848716134,11.551483385910494,15.417370873055699,64975.07110025579,85913.03863167133,0.5647008821900089,-4775.7614350818185,33.33333333333333,50.0
4736,泰博,生技醫療業,12,15.40227222124515,15.488598948545365,14.321147898842101,16.08039000681884,53960.64138058154,60519.58656641684,0.25882017528308576,6376.3586226435045,41.66666666666667,66.66666666666666
9928,中視,其他,12,15.414647234320055,15.192235898728176,14.915961330345995,14.601002637719004,11302.700165789647,14605.11153804181,1.271897781400085,-5123.72255410579,50.0,66.66666666666666
3032,偉訓,電子零組件業,12,15.43400501625147,16.193820219649652,13.366108761360465,14.946554191932337,143243.33495927192,185933.65596483494,0.8676402446414784,-45279.20811886325,41.66666666666667,66.66666666666666
8996,高力,電機機械,12,15.437081896479432,16.56275296433039,12.81939899334376,15.668277724709483,84654.68015071347,101895.96053082097,1.1323844393249576,-53464.02393521481,75.0,41.66666666666667
1531,高林股,電機機械,12,15.453670545624451,14.13313009919446,10.560248640550848,15.108647083271512,19205.628583220245,23626.442512751106,0.29338219740966004,6774.3439567834785,50.0,50.0
3508,位速,其他電子類,12,15.505753284992648,16.47429219880819,15.894946748793037,16.997715810013037,10697.961892681402,12194.662447183011,0.43371219794165405,-578.3354261805792,41.66666666666667,66.66666666666666
1512,瑞利,汽車工業,12,15.52821913925392,14.877984002526576,8.003929905723805,14.97023225303379,14852.120477930805,20995.460509576635,0.4164595798880583,-3233.270561212236,58.333333333333336,100.0
5245,智晶,光電業,12,15.550979210331798,14.560319309380034,12.470966270859272,15.692315631361407,10053.435917343326,12799.655919632465,0.543399488267858,2016.0226671190267,58.333333333333336,25.0
1727,中華化,化學生技醫療,12,15.586996469513705,15.524649878344313,19.816209753447936,15.52492945771489,25579.27436124251,29662.763978811407,0.6960359482738032,-18.96314171270448,41.66666666666667,33.33333333333333
6585,鼎基,其他,12,15.599174420123575,15.608863827075684,12.515062793503503,16.30694161787684,37042.78752573871,43646.510032686405,0.9906265299557244,1205.3443439329324,58.333333333333336,50.0
2305,全友,電腦及週邊設備業,12,15.606202505045516,15.929331842282455,16.602481398131612,15.718136450653075,9706.862880606997,10899.942499725583,0.8643828509660301,-1903.621689331956,58.333333333333336,50.0
8383,千附,半導體業,12,15.610215115635862,14.773595747383098,13.919720249115214,15.19928963830082,43686.63094600515,49675.397367884885,0.6142912520919631,10574.113175104225,41.66666666666667,58.333333333333336
3416,融程電,電腦及週邊設備業,12,15.62135803773946,15.929803921521824,15.037476834252919,15.6970924423073,47392.81802940077,55834.73012342654,1.1456434398206643,-2964.4058802179766,33.33333333333333,66.66666666666666
6494,九齊,半導體業,12,15.628537840786565,14.92534375522277,12.68680708298623,15.655105860486628,15463.487457406327,20938.588719482697,0.32745068142367223,1039.5627021417142,58.333333333333336,50.0
