model,evaluation_scope,observations,stock_count,RMSE,MAE,MAPE,MedianAPE,WMAPE,SMAPE,MASE,Bias,UnderestimateRate,DirectionAccuracy
Rolling SARIMA,三模型共同股票月份,21563,1797,2179463.505137337,238215.2319965244,3650.5225662510093,10.710486959290886,10.42646700345954,20.03589296166524,0.6986630178485344,-30424.217351377367,48.57394611139452,65.52427769790845
營收調整公式,三模型共同股票月份,21563,1797,2320472.1450662985,247284.67847887496,586.9162652304647,10.491506286578165,10.823428539862258,19.80315643434273,0.6751833693408623,-41202.609439284824,49.19074340305152,62.987524926958216
Rolling xLSTM,三模型共同股票月份,21563,1797,14731746.667856893,723212.4806381301,153.1700685026453,10.86355715848766,31.654361489250206,19.90724360372699,0.7028799405838114,-460561.23813940544,42.11380605667115,61.916245420396045
