candidate,seasonal_weight,residual_alpha,residual_strength,growth_log_cap,correction_log_cap,observations,stock_count,RMSE,MAE,MAPE,MedianAPE,WMAPE,SMAPE,MASE,Bias,UnderestimateRate,DirectionAccuracy,median_stock_WMAPE,balanced_score
1,0.5,0.1,0.0,0.6931471805599453,0.5,42525,1811,2091346.0358353131,220331.92243522327,65.55747062761066,11.651908437542035,11.359070921929229,21.168714169220635,0.7002404321055001,-35091.40000097368,52.8747795414462,62.79835390946502,14.415751921134726,12.887411421531977
4,0.5,0.2,0.0,0.6931471805599453,0.5,42525,1811,2091346.0358353131,220331.92243522327,65.55747062761066,11.651908437542035,11.359070921929229,21.168714169220635,0.7002404321055001,-35091.40000097368,52.8747795414462,62.79835390946502,14.415751921134726,12.887411421531977
7,0.5,0.3,0.0,0.6931471805599453,0.5,42525,1811,2091346.0358353131,220331.92243522327,65.55747062761066,11.651908437542035,11.359070921929229,21.168714169220635,0.7002404321055001,-35091.40000097368,52.8747795414462,62.79835390946502,14.415751921134726,12.887411421531977
2,0.5,0.1,0.5,0.6931471805599453,0.5,42525,1811,2122967.664467928,223497.75705481702,66.02213936025055,11.880820276905755,11.522283494912777,21.384323234430873,0.7123223198681142,-29802.09781700154,52.76425631981188,61.75191064079954,14.640295563712726,13.081289529312752
5,0.5,0.2,0.5,0.6931471805599453,0.5,42525,1811,2156355.7776744384,224560.68502770888,65.2825543157498,11.897125808103173,11.577082064704818,21.452806856388744,0.7179724992731057,-25698.454964737495,52.420928865373305,61.12874779541446,14.689245982075505,13.133164023390162
8,0.5,0.3,0.5,0.6931471805599453,0.5,42525,1811,2190098.6027092244,225885.2552759348,65.70452511705183,11.976045187509149,11.645369434162593,21.577363778800237,0.7249049587039244,-23009.74119497205,52.039976484420926,60.691358024691354,14.81384354536682,13.229606489764706
3,0.5,0.1,1.0,0.6931471805599453,0.5,42525,1811,2171131.2676128712,229068.73180753982,68.28385957133209,12.210783826316659,11.809491524602892,21.83754905022166,0.7298989095109465,-24575.888902734383,52.562022339800116,60.592592592592595,15.055752466283728,13.43262199544331
6,0.5,0.2,1.0,0.6931471805599453,0.5,42525,1811,2266058.4840150285,235568.41627158635,66.27739762238433,12.45971360743929,12.144578587708656,22.23347762608727,0.7495384232072305,-15907.634494789767,51.94356261022928,59.09700176366843,15.379679553391856,13.762129070550255
10,0.75,0.1,0.0,0.6931471805599453,0.5,42525,1811,2191546.8879782194,233530.7778193154,93.76581534098962,12.77799712103817,12.039529444412588,23.02008535495592,0.7538503053421635,-35147.164537234996,52.402116402116405,62.79835390946502,15.69936515815682,13.869447301284705
13,0.75,0.2,0.0,0.6931471805599453,0.5,42525,1811,2191546.8879782194,233530.7778193154,93.76581534098962,12.77799712103817,12.039529444412588,23.02008535495592,0.7538503053421635,-35147.164537234996,52.402116402116405,62.79835390946502,15.69936515815682,13.869447301284705
16,0.75,0.3,0.0,0.6931471805599453,0.5,42525,1811,2191546.8879782194,233530.7778193154,93.76581534098962,12.77799712103817,12.039529444412588,23.02008535495592,0.7538503053421635,-35147.164537234996,52.402116402116405,62.79835390946502,15.69936515815682,13.869447301284705
14,0.75,0.2,0.5,0.6931471805599453,0.5,42525,1811,2263220.3523564916,237656.5925741156,86.16569297465652,12.995889694009675,12.25223317745561,23.189610847895718,0.7698512530372451,-25434.178850393815,52.124632569077015,61.657848324514994,15.915338322663322,14.083785750059466
11,0.75,0.1,0.5,0.6931471805599453,0.5,42525,1811,2227304.357872297,237583.64606334406,89.97088866236636,13.014844613700982,12.248472466886742,23.220206449703625,0.7676414692699777,-29932.3598704511,52.34097589653145,62.012933568489125,15.927894362651134,14.088183414768938
17,0.75,0.3,0.5,0.6931471805599453,0.5,42525,1811,2298082.08985735,237562.03709534,84.1008548257108,13.033992228319802,12.247358430403082,23.20320820890584,0.7729906122304099,-23054.194421708406,51.93885949441505,61.50264550264551,15.973195958565523,14.110277194484302
9,0.5,0.3,1.0,0.6931471805599453,0.5,42525,1811,2361836.585011292,241809.94954545042,66.27645521638806,12.73972490399638,12.466356831804205,22.683946879595446,0.7708899232936686,-10091.581739655898,51.55085243974133,57.67195767195767,15.777942673073373,14.122149752438789
12,0.75,0.1,1.0,0.6931471805599453,0.5,42525,1811,2285109.9115759353,244436.75757513926,92.56919308191416,13.349928507645975,12.601780234721687,23.693450860356087,0.7872771896118191,-24932.192212985534,52.40681951793063,61.187536743092295,16.25751220201701,14.42964621836935
15,0.75,0.2,1.0,0.6931471805599453,0.5,42525,1811,2390870.6810510233,249519.15167931397,86.94347068988895,13.612301838037585,12.863799802492165,23.970720873991077,0.8030956831992861,-15092.038469703179,52.039976484420926,60.42092886537331,16.636053892669945,14.749926847581055
18,0.75,0.3,1.0,0.6931471805599453,0.5,42525,1811,2491180.764766913,254994.70229681546,83.77398131141975,13.849178142506876,13.14608830210392,24.304304069013018,0.8204543049469407,-9375.40293005334,51.67548500881834,59.72251616696062,17.052876775123842,15.09948253861388
19,1.0,0.1,0.0,0.6931471805599453,0.5,42525,1811,2655303.366363801,273996.74345758127,261.6346285361318,14.605719833796565,14.125726344657718,25.783639626694054,0.8643598902163561,-27200.136253542067,52.07760141093475,62.79835390946502,18.03147309518174,16.07859971991973
22,1.0,0.2,0.0,0.6931471805599453,0.5,42525,1811,2655303.366363801,273996.74345758127,261.6346285361318,14.605719833796565,14.125726344657718,25.783639626694054,0.8643598902163561,-27200.136253542067,52.07760141093475,62.79835390946502,18.03147309518174,16.07859971991973
25,1.0,0.3,0.0,0.6931471805599453,0.5,42525,1811,2655303.366363801,273996.74345758127,261.6346285361318,14.605719833796565,14.125726344657718,25.783639626694054,0.8643598902163561,-27200.136253542067,52.07760141093475,62.79835390946502,18.03147309518174,16.07859971991973
26,1.0,0.3,0.5,0.6931471805599453,0.5,42525,1811,2793740.2340495116,278349.2496332423,210.07316063383,14.783504276405814,14.350117008484492,25.83383570239758,0.8842909750197097,-14222.685694774707,51.706055261610814,61.69547325102881,18.248861820467965,16.299489414476227
23,1.0,0.2,0.5,0.6931471805599453,0.5,42525,1811,2756087.3704351983,279104.2970260709,219.63681019408114,14.821120443656143,14.389042992471579,25.885173177465642,0.8838195430113522,-16383.617227615878,51.86125808348031,61.968253968253975,18.307433184261907,16.34823808836674
20,1.0,0.1,0.5,0.6931471805599453,0.5,42525,1811,2711674.321881291,279001.0415845448,231.94315857431255,14.879701281328405,14.38371972442033,25.990700505970345,0.8839760638196786,-21449.474726482633,52.11522633744856,62.203409758965314,18.341810996516998,16.362765360468664
21,1.0,0.1,1.0,0.6931471805599453,0.5,42525,1811,2794113.8307597856,288157.2414064343,236.7560233396492,15.27382737484578,14.855761732689807,26.50807948658207,0.9080876982167925,-16184.554035352348,52.29159318048207,61.56378600823045,18.757230269966815,16.806496001328313
24,1.0,0.2,1.0,0.6931471805599453,0.5,42525,1811,2922974.956894653,294495.40796917636,220.5763634320762,15.40969587770184,15.182521844004837,26.72740120998546,0.9232424473943887,-4604.045578146889,51.795414462081126,61.0135214579659,19.151181623760223,17.16685173388253
27,1.0,0.3,1.0,0.6931471805599453,0.5,42525,1811,3033397.778176281,299098.5827735759,210.74678108167654,15.726516018919288,15.41983556818652,26.988452655531486,0.9379889681218408,1280.4813102522771,51.58847736625515,60.475014697236915,19.50872775193961,17.464281660063065
