target_month,model,observations,stock_count,RMSE,MAE,MAPE,MedianAPE,P90APE,WMAPE,SMAPE,MASE,Bias,UnderestimateRate,DirectionAccuracy
1,原營收公式,1862,1862,2033403.2762964775,255466.08141111964,70.8565822010383,14.741665597236475,62.34778707513622,13.120618757689476,24.190510117229362,,126555.89860032423,31.525241675617615,65.4672395273899
1,原混合模型,1862,1862,1954289.8220211482,244715.5720168596,68.38960305504283,14.242009019680157,59.90736913120458,12.568477610677286,23.561613038678203,,118655.89721473724,31.954887218045116,67.7765843179377
1,結構斷點公式,1862,1862,2033411.1583431088,255556.38835111557,67.38108098883288,14.650775678063518,62.11777940414155,13.125256879996419,23.925182007344386,,126440.78374997774,31.63265306122449,65.14500537056928
1,改善混合模型,1862,1862,1954297.7829501925,244803.08829147584,65.09349367685205,14.144104654746048,59.4617619582348,12.572972405712267,23.305827910332894,,118548.38350057918,32.11600429645542,67.61546723952739
2,原營收公式,1862,1862,2659295.540436139,230628.36364780762,28.85212724611087,13.231015329911441,43.34486104197516,12.202043998280747,21.634570445683117,,-104679.19819934975,59.183673469387756,61.224489795918366
2,原混合模型,1862,1862,2747272.314053069,231405.06637833113,28.369938312549692,12.983842818712152,42.769099512244765,12.24313764670079,21.425585974384173,,-114517.86901919317,60.41890440386681,61.7078410311493
2,結構斷點公式,1862,1862,2659296.5996091496,230625.4435468149,27.11180138096072,13.077144587406513,42.457656097975025,12.201889502102441,21.321542249813362,,-104760.52311617021,59.55961331901182,60.526315789473685
2,改善混合模型,1862,1862,2747273.222341783,231399.78923688398,26.77559271788499,12.894300890897442,42.14036740337933,12.242858444649901,21.130526198798485,,-114596.84831191185,60.95596133190118,61.224489795918366
3,原營收公式,1862,1862,1930005.6009570595,246259.42001529853,190.54630975778647,10.940675838590174,41.934365723731,11.365587213880108,20.887992485605114,,-134513.31046340108,68.31364124597206,73.14715359828142
3,原混合模型,1862,1862,1829529.0365906686,233559.28038593783,199.54220053660435,10.30013951188839,40.679408488128445,10.77943889688583,20.199644797550636,,-123263.8681079463,66.3265306122449,74.43609022556392
3,結構斷點公式,1862,1862,1930043.9656258838,246338.21134278635,188.44902351325686,10.879406254499068,41.666765890170865,11.369223662403396,20.706051481334413,,-134703.2730213862,68.47475832438239,72.55639097744361
3,改善混合模型,1862,1862,1829566.5701828473,233634.35671005995,197.6233980396159,10.277318140308772,40.15601840523041,10.782903887217792,20.030582677020213,,-123445.92925628908,66.48764769065521,74.06015037593986
4,原營收公式,1862,1862,1894555.1156880662,223266.883670553,37.729591640181084,9.20835605355351,44.48082055121523,10.29612696439247,18.409394394414427,,-5222.147079433417,43.77013963480129,61.33190118152524
4,原混合模型,1862,1862,1901479.9464491003,220122.63356151604,35.93680035932733,8.979898067663134,44.0912564263169,10.151127411399118,18.109418089941542,,-12442.630791811778,44.52201933404941,61.65413533834586
4,結構斷點公式,1862,1862,1894488.7487130016,222937.89266962482,32.69059642104904,9.156505911660147,44.678542014000065,10.280955287070647,18.19129867354268,,-5710.4439333459695,44.09237379162192,60.794844253490865
4,改善混合模型,1862,1862,1901424.4947793768,219835.41507482427,31.280066354228587,8.957759229112858,44.390576902211045,10.137882106242877,17.910113206743976,,-12889.880246544546,44.89795918367347,61.43931256713212
5,原營收公式,1862,1862,2506891.0611888557,281399.05799797474,192.39124304324153,11.982184947249236,43.91455997986887,13.243985338538558,20.244962731135857,,97206.20673330776,33.297529538131045,49.40923737916219
