stock_id,stock_name,industry_category,baseline_observations,baseline_stock_count,baseline_RMSE,baseline_MAE,baseline_MAPE,baseline_MedianAPE,baseline_P90APE,baseline_WMAPE,baseline_SMAPE,baseline_MASE,baseline_Bias,baseline_UnderestimateRate,baseline_DirectionAccuracy,improved_observations,improved_stock_count,improved_RMSE,improved_MAE,improved_MAPE,improved_MedianAPE,improved_P90APE,improved_WMAPE,improved_SMAPE,improved_MASE,improved_Bias,improved_UnderestimateRate,improved_DirectionAccuracy,structural_formula_observations,structural_formula_stock_count,structural_formula_RMSE,structural_formula_MAE,structural_formula_MAPE,structural_formula_MedianAPE,structural_formula_P90APE,structural_formula_WMAPE,structural_formula_SMAPE,structural_formula_MASE,structural_formula_Bias,structural_formula_UnderestimateRate,structural_formula_DirectionAccuracy,structural_break_months,WMAPE_improvement_points,improved_beats_baseline,baseline_over_15,improved_over_15
3022,威強電,電腦及週邊設備業,12,1,104169.8663536664,81470.00595346323,15.743574632506169,13.070868060340224,37.31439388408124,15.010496191128459,15.097737215572005,,7837.991400712694,58.333333333333336,58.333333333333336,12,1,104169.8663536664,81470.00595346323,15.743574632506169,13.070868060340224,37.31439388408124,15.010496191128459,15.097737215572005,,7837.991400712694,58.333333333333336,58.333333333333336,12,1,103563.2132568362,80595.50571916906,15.601843975086135,12.998757759161943,37.79187024700253,14.849373305688735,14.922522942604774,,9892.102496143276,58.333333333333336,58.333333333333336,0,0.0,False,True,True
8383,千附,半導體業,12,1,48471.52354486087,42050.32796984276,14.564774661188522,13.328913827443072,24.127648743020085,15.025527285534695,14.231632738268285,,9085.926251388484,41.66666666666667,66.66666666666666,12,1,48471.52354486086,42050.32796984276,14.564774661188522,13.328913827443067,24.127648743020085,15.025527285534695,14.231632738268285,,9085.926251388484,41.66666666666667,66.66666666666666,12,1,49675.397367884885,43686.63094600515,15.19928963830082,13.919720249115214,23.875009975779047,15.610215115635862,14.773595747383098,,10574.113175104225,41.66666666666667,58.333333333333336,0,0.0,False,True,True
1473,台南,紡織纖維,12,1,96596.08641480436,83717.17663217195,16.99943561295045,12.890958119452698,30.07855987562939,15.045822676730255,16.136492717954134,,26348.451816941917,25.0,50.0,12,1,96596.08641480435,83717.17663217195,16.999435612950446,12.890958119452698,30.07855987562939,15.045822676730255,16.136492717954134,,26348.451816941913,25.0,50.0,12,1,97459.28077623904,83899.22883336512,17.142240436043853,13.146713668938641,31.635328958173925,15.078541471692677,16.268433051868293,,26327.34595345575,25.0,66.66666666666666,0,0.0,False,True,True
1475,業旺,紡織纖維,12,1,24711.15750838872,18435.530238929197,15.321248668666984,11.833644196765873,35.68466670009393,15.047334474705218,14.058540863240243,,8470.974514817082,41.66666666666667,58.333333333333336,12,1,24711.15750838872,18435.530238929194,15.321248668666984,11.833644196765873,35.68466670009393,15.047334474705218,14.05854086324024,,8470.974514817084,41.66666666666667,58.333333333333336,12,1,25761.126092484832,18396.80355679347,15.206400708031492,10.404988041727288,40.439758431098525,15.015725221722557,13.914139612921298,,8566.807590582986,41.66666666666667,58.333333333333336,0,0.0,False,True,True
4173,久裕,生技醫療業,12,1,24898.412929675607,19401.744510011278,14.370215088621874,13.14999420143118,29.20329130999536,15.049843866746865,14.907558837871296,,-4778.9355214800635,50.0,75.0,12,1,24898.412929675607,19401.744510011278,14.370215088621874,13.14999420143118,29.20329130999536,15.049843866746865,14.907558837871296,,-4778.93552148006,50.0,75.0,12,1,25270.14001952082,20150.89494815387,15.00831742234355,14.267644854881233,30.363661647067868,15.630956411597321,15.502780591744477,,-4833.5696692760475,58.333333333333336,66.66666666666666,0,0.0,False,True,True
6494,九齊,半導體業,12,1,19908.687653668763,14903.782944849061,15.12749889778415,12.732785255287729,33.79222706612342,15.062859291348444,14.432671987244222,,1011.1971014359393,50.0,50.0,12,1,19908.687653668763,14903.782944849061,15.12749889778415,12.732785255287729,33.79222706612342,15.062859291348444,14.432671987244222,,1011.1971014359393,50.0,50.0,12,1,20938.588719482697,15463.487457406327,15.655105860486628,12.68680708298623,37.48107807451311,15.628537840786565,14.92534375522277,,1039.5627021417142,58.333333333333336,50.0,0,0.0,False,True,True
6862,三集瑞-KY,電子零組件業,12,1,35710.19962451392,28444.514490320533,14.6439542908971,13.254641823367109,26.443305767509457,15.065165827514562,13.898889134060946,,8394.867248769317,41.66666666666667,33.33333333333333,12,1,35710.19962451392,28444.514490320533,14.6439542908971,13.254641823367109,26.443305767509457,15.065165827514562,13.898889134060946,,8394.867248769317,41.66666666666667,33.33333333333333,12,1,35710.19962451392,28444.514490320533,14.6439542908971,13.254641823367109,26.443305767509457,15.065165827514562,13.898889134060946,,8394.867248769317,41.66666666666667,33.33333333333333,0,0.0,False,True,True
1512,瑞利,汽車工業,12,1,20255.275868612032,14412.342937399748,14.42549760141825,8.81206252741207,31.627778331074303,15.068422032703666,14.536954932203658,,-3488.9726185734203,58.333333333333336,91.66666666666666,12,1,20255.27586861203,14412.342937399744,14.425497601418243,8.81206252741207,31.627778331074303,15.068422032703662,14.536954932203653,,-3488.9726185734203,58.333333333333336,91.66666666666666,12,1,20995.460509576635,14852.120477930805,14.97023225303379,8.003929905723805,31.33772962102797,15.52821913925392,14.877984002526576,,-3233.270561212236,58.333333333333336,100.0,0,3.552713678800501e-15,True,True,True
6728,上洋,居家生活類,12,1,71312.15183963467,59496.875478468166,15.05825095608531,13.553277529370146,25.902777894936648,15.077447151545762,15.00974661654756,,-11194.470237843743,58.333333333333336,75.0,12,1,71312.15183963468,59496.87547846817,15.05825095608531,13.553277529370146,25.90277789493666,15.077447151545764,15.00974661654756,,-11194.470237843738,58.333333333333336,75.0,12,1,73344.29315677949,62049.29873095496,15.556191639159152,13.412213601355456,26.59258586520885,15.72427148287848,15.619623461694326,,-13007.8796235979,58.333333333333336,75.0,0,-1.7763568394002505e-15,False,True,True
2382,廣達,電腦及週邊設備業,12,1,34196467.44626419,26690406.282484453,14.486924537162208,12.384074731783343,24.64543212318839,15.081530674942108,14.753286854818379,,-7748846.932873119,66.66666666666666,50.0,12,1,34196467.446264185,26690406.282484453,14.486924537162205,12.384074731783343,24.64543212318839,15.081530674942108,14.753286854818379,,-7748846.932873115,66.66666666666666,50.0,12,1,34316042.88378539,26774459.405379057,14.513141536376557,12.854080711357078,24.543681044696665,15.129025259244916,14.792583620824987,,-7808330.628518026,66.66666666666666,50.0,0,0.0,False,True,True
