model,observations,stock_count,RMSE,MAE,MAPE,MedianAPE,P90APE,WMAPE,SMAPE,MASE,Bias,UnderestimateRate,DirectionAccuracy
原營收公式,22344,1862,2279714.7027562205,240381.55515197336,568.6526890691663,10.540941767517317,45.271616253210155,10.846008111781105,20.045553980292375,,-40067.03897746564,49.31525241675618,61.76602219835302
原混合模型,22344,1862,2210726.98673934,234458.70576656196,567.8339745523991,10.307542007827681,44.37378204169042,10.57876933616699,19.71183729941035,,-39086.603887196165,49.05567490153956,62.652166129609746
結構斷點公式,22344,1862,2279804.3324827813,240318.21545475617,537.8315232348829,10.491682470040763,44.53612514544549,10.843150226660171,19.8296174307875,,-40445.42713743803,49.56587898317222,61.143931256713216
改善混合模型,22344,1862,2210813.214651233,234403.18802172167,537.8312242197826,10.242634205022778,43.68550405619865,10.576264377288156,19.50511284631856,,-39438.66176499286,49.328678839957036,62.401539563193694
