stock_id,stock_name,industry_category,hybrid_observations,hybrid_stock_count,hybrid_RMSE,hybrid_MAE,hybrid_MAPE,hybrid_MedianAPE,hybrid_P90APE,hybrid_WMAPE,hybrid_SMAPE,hybrid_MASE,hybrid_Bias,hybrid_UnderestimateRate,hybrid_DirectionAccuracy,formula_observations,formula_stock_count,formula_RMSE,formula_MAE,formula_MAPE,formula_MedianAPE,formula_P90APE,formula_WMAPE,formula_SMAPE,formula_MASE,formula_Bias,formula_UnderestimateRate,formula_DirectionAccuracy,sarima_observations,sarima_stock_count,sarima_RMSE,sarima_MAE,sarima_MAPE,sarima_MedianAPE,sarima_P90APE,sarima_WMAPE,sarima_SMAPE,sarima_MASE,sarima_Bias,sarima_UnderestimateRate,sarima_DirectionAccuracy,hybrid_beats_formula,hybrid_beats_sarima
3022,威強電,電腦及週邊設備業,12,1,104169.8663536664,81470.00595346323,15.743574632506169,13.070868060340224,37.31439388408124,15.010496191128459,15.097737215572005,0.6736645942096177,7837.991400712694,58.333333333333336,58.333333333333336,12,1,103563.2132568362,80595.50571916906,15.601843975086135,12.998757759161943,37.79187024700253,14.849373305688735,14.922522942604774,0.6664112058387119,9892.102496143276,58.333333333333336,58.333333333333336,12,1,116365.3486454475,96536.94997060554,18.364528835828228,16.853820588740863,36.05248881385135,17.786515452873047,18.17583976049785,0.7980699158683121,-10649.00845816274,66.66666666666666,50.0,False,True
8383,千附,半導體業,12,1,48471.52354486086,42050.32796984276,14.564774661188522,13.328913827443067,24.127648743020085,15.025527285534695,14.231632738268285,0.5917264746542211,9085.926251388484,41.66666666666667,66.66666666666666,12,1,49675.397367884885,43686.63094600515,15.19928963830082,13.919720249115214,23.875009975779047,15.610215115635862,14.773595747383098,0.6142912520919631,10574.113175104225,41.66666666666667,58.333333333333336,12,1,44222.467927351136,35260.363615733695,11.855685307820607,9.798249498874606,21.45246736017256,12.59932041400586,12.15221310136904,0.497341906972059,-4307.756062053265,41.66666666666667,66.66666666666666,True,False
1473,台南,紡織纖維,12,1,96596.08641480435,83717.17663217195,16.999435612950446,12.890958119452698,30.07855987562939,15.045822676730255,16.136492717954134,0.6799018573958787,26348.451816941913,25.0,50.0,12,1,97459.28077623904,83899.22883336512,17.142240436043853,13.146713668938641,31.635328958173925,15.078541471692677,16.268433051868293,0.6813565421503848,26327.34595345575,25.0,66.66666666666666,12,1,120337.06572937436,94361.04357174791,17.579009570979498,15.117147876934588,30.17977937673922,16.95876027221563,16.705396090371302,0.7659887746261435,26538.404588316964,25.0,41.66666666666667,True,True
1475,業旺,紡織纖維,12,1,24711.15750838872,18435.530238929194,15.321248668666984,11.833644196765873,35.68466670009393,15.047334474705218,14.05854086324024,0.5505167848672655,8470.974514817084,41.66666666666667,58.333333333333336,12,1,25761.126092484832,18396.80355679347,15.206400708031492,10.404988041727288,40.439758431098525,15.015725221722557,13.914139612921298,0.5490168643028862,8566.807590582986,41.66666666666667,58.333333333333336,12,1,26687.403863299707,20975.990322556438,17.968324945946282,12.190823519035348,33.96257778868184,17.12089309236053,16.36589958387497,0.6298573845987517,7608.476832923981,41.66666666666667,41.66666666666667,False,True
4173,久裕,生技醫療業,12,1,24898.412929675607,19401.744510011278,14.370215088621874,13.14999420143118,29.20329130999536,15.049843866746865,14.907558837871296,1.019874420850328,-4778.93552148006,50.0,75.0,12,1,25270.14001952082,20150.89494815387,15.00831742234355,14.267644854881233,30.363661647067868,15.630956411597321,15.502780591744477,1.0585572328043804,-4833.5696692760475,58.333333333333336,66.66666666666666,12,1,23745.046978798287,17409.135664138525,12.641366891197817,9.672894991819422,18.90399899416991,13.504186361443177,13.463993473774472,0.9171145986758095,-4287.228191316211,41.66666666666667,66.66666666666666,True,False
6494,九齊,半導體業,12,1,19908.687653668763,14903.782944849061,15.12749889778415,12.732785255287729,33.79222706612342,15.062859291348444,14.432671987244222,0.31574203578432675,1011.1971014359393,50.0,50.0,12,1,20938.588719482697,15463.487457406327,15.655105860486628,12.68680708298623,37.48107807451311,15.628537840786565,14.92534375522277,0.32745068142367223,1039.5627021417142,58.333333333333336,50.0,12,1,14039.330889409122,10687.562297611348,11.144413754390332,10.288014982731598,15.222813617270543,10.801636581273414,10.803628485510064,0.22855698235252794,755.9066950839424,50.0,50.0,True,False
1512,瑞利,汽車工業,12,1,20255.27586861203,14412.342937399744,14.425497601418243,8.81206252741207,31.627778331074303,15.068422032703662,14.536954932203653,0.4044572124106758,-3488.9726185734203,58.333333333333336,91.66666666666666,12,1,20995.460509576635,14852.120477930805,14.97023225303379,8.003929905723805,31.33772962102797,15.52821913925392,14.877984002526576,0.4164595798880583,-3233.270561212236,58.333333333333336,100.0,12,1,19420.30063412933,14234.904548815786,13.631509575298084,9.282994601487495,32.76412037015314,14.882906288622404,14.716313980547394,0.4033602404993202,-5790.2911348240605,58.333333333333336,50.0,True,False
6728,上洋,居家生活類,12,1,71312.15183963468,59496.87547846817,15.05825095608531,13.553277529370146,25.90277789493666,15.077447151545764,15.00974661654756,1.1542494782326302,-11194.470237843738,58.333333333333336,75.0,12,1,73344.29315677949,62049.29873095496,15.556191639159152,13.412213601355456,26.59258586520885,15.72427148287848,15.619623461694326,1.205978631913883,-13007.8796235979,58.333333333333336,75.0,12,1,73628.55756815975,53214.52148041694,14.477822685957618,10.930842069181804,26.79258592611411,13.485399508183393,13.483736394448767,1.0097047780621777,5126.214233943567,66.66666666666666,83.33333333333334,True,False
2382,廣達,電腦及週邊設備業,12,1,34196467.446264185,26690406.282484453,14.486924537162205,12.384074731783343,24.64543212318839,15.081530674942108,14.753286854818379,1.1605076090994675,-7748846.932873115,66.66666666666666,50.0,12,1,34316042.88378539,26774459.405379057,14.513141536376557,12.854080711357078,24.543681044696665,15.129025259244916,14.792583620824987,1.1645291059707519,-7808330.628518026,66.66666666666666,50.0,12,1,35077766.643793486,26726307.174493622,14.773060748053846,9.441718175161734,30.93709619811662,15.101816630815676,15.129902548491103,1.1630265515286056,-7213493.67206892,66.66666666666666,66.66666666666666,True,True
5245,智晶,光電業,12,1,12421.726401436701,9769.666900595259,15.263123703741863,12.346840537152582,29.902062070096168,15.112036134922846,14.179723436973113,0.5281386059490858,1988.1496905493811,58.333333333333336,25.0,12,1,12799.655919632465,10053.435917343326,15.692315631361407,12.470966270859272,30.566766387595628,15.550979210331798,14.560319309380034,0.543399488267858,2016.0226671190267,58.333333333333336,25.0,12,1,9694.523128089786,7645.482515113178,12.132551410820867,9.169712519619127,25.626262375429533,11.826279156996792,11.388269002192247,0.4138027796432442,1737.292901422538,58.333333333333336,58.333333333333336,True,False
2349,錸德,電子工業,12,1,120532.13733616337,94529.93300785772,15.276420619203526,12.354162388728932,29.141489087419615,15.129594440451525,15.415927686058131,1.2268170503649454,-15201.018590633117,58.333333333333336,66.66666666666666,12,1,121073.63938789167,95788.11940945788,15.441343013217534,12.655927660064531,29.398641759691735,15.330968221020255,15.59850453637516,1.2435549803676467,-16187.89154196276,58.333333333333336,66.66666666666666,12,1,118325.77054998733,88911.4215850768,14.540004153712847,11.60100418120046,29.778073238551283,14.230347011823245,14.537214638991427,1.1513710417526728,-6319.162028666426,41.66666666666667,58.333333333333336,True,False
6568,宏觀,半導體業,12,1,16935.20555653104,14361.455866336391,16.04820659359789,13.225841256253506,31.55014539459803,15.153371036715125,15.463646851264093,0.5749021873965972,-70.0464447589123,58.333333333333336,75.0,12,1,17315.9828454812,14539.344405356895,16.353454129164756,15.126685232341133,32.9170449062464,15.341068653171645,15.694482596573508,0.5820560186258695,298.8898148711839,50.0,83.33333333333334,12,1,18335.879295296912,15425.812005985985,16.19489260051201,18.488591887055122,27.09250513560476,16.276417589197443,16.34663932239141,0.6156876496105524,-3390.47278142979,50.0,58.333333333333336,True,True
4906,正文,電子工業,12,1,254762.11032639234,208618.86646322595,14.989015523700225,11.093564816286012,29.04671141353988,15.177134200964574,14.518494059160892,0.4267310330141676,99106.99864082217,25.0,50.0,12,1,256852.5045395013,206796.53985620904,14.834743829532258,11.806849900588388,29.11846637168115,15.04455896488179,14.368305892770419,0.42296658955243904,95638.33425631402,25.0,50.0,12,1,282790.00058661756,234605.7205337584,16.931228900976,17.80139334410339,29.48656619825295,17.067691744372933,16.01392651866513,0.48052969463832546,130324.97810139532,33.33333333333333,50.0,False,True
1603,華電,電器電纜,12,1,86551.91424140787,69867.39134657806,14.490410205087704,14.400214815703272,23.16983386958058,15.181945988015672,14.438176306914349,0.7329184062176358,4563.2891517719445,41.66666666666667,58.333333333333336,12,1,92290.51482215853,75349.92644280424,15.662977706096381,14.97454031976478,24.036149123305087,16.3732821765305,15.42981697680993,0.7892355176633021,6758.394310063765,41.66666666666667,58.333333333333336,12,1,96051.7257905927,78121.8938181637,17.215811765933523,15.948570398312395,38.1067320489394,16.975621238604415,17.65017681452573,0.8211281170727273,-15192.657272854587,50.0,75.0,True,True
6263,普萊德,通信網路業,12,1,27816.423255992555,23845.44522201076,16.125043161503207,12.094551257591354,33.71191859718467,15.185876383103686,15.51759533804622,1.1328422394491462,3866.2773625950417,50.0,41.66666666666667,12,1,29274.96359247164,24988.478515237057,16.899389938403107,13.355833611266629,35.01466433532101,15.913812562575144,16.26439032652801,1.187130793631939,3784.8212180131413,50.0,50.0,12,1,17991.577083678538,15320.297663231475,10.214937990194716,10.15464237675094,20.25788792939036,9.75667026973494,9.812486893084717,0.7271637622686602,4599.382663832116,50.0,75.0,True,False
5521,工信,建材營造,12,1,135239.41841884243,114436.75474638813,15.473192176952102,13.437556230773115,29.833448100623617,15.193423884368995,15.556662581944266,0.4531885894082705,6585.808289273661,41.66666666666667,66.66666666666666,12,1,136876.31376226354,115979.8811615376,15.727660920197032,14.575409378356301,28.589144426057683,15.398300139244379,15.849469826424519,0.45954208043877304,6551.832039014892,33.33333333333333,58.333333333333336,12,1,153944.57425000935,122989.79578311204,16.803078082245683,15.10691279914606,35.72504087587616,16.32898542890371,16.64025697466335,0.48557528549138257,6891.594541602341,41.66666666666667,66.66666666666666,True,True
6733,博晟生醫,生技醫療業,12,1,3794.221469002324,2816.2420111755346,15.353882011585906,7.316665145386117,38.34216322734316,15.199856134654338,14.257846336289221,0.7810471078340916,777.924512226055,50.0,66.66666666666666,12,1,3796.997903445119,2835.6211145614798,15.368369209395846,6.8436407563056925,35.32207879658637,15.304449270583733,14.44093238616765,0.7867927386187841,639.2577901554602,50.0,66.66666666666666,12,1,4531.588886238804,3550.9207462242484,20.418950378201366,11.573884647109931,46.682801611125065,19.165073269267367,17.826759497438736,0.9878743181453035,2025.925010861407,41.66666666666667,66.66666666666666,True,True
9928,中視,其他,12,1,14529.39931434046,11153.960298216552,14.310356980183888,14.754949244744274,27.41476510585425,15.211795477245374,14.954400770080248,1.2551714369700007,-5353.912345023015,58.333333333333336,66.66666666666666,12,1,14605.11153804181,11302.700165789647,14.601002637719004,14.915961330345995,29.309613903887065,15.414647234320055,15.192235898728176,1.271897781400085,-5123.72255410579,50.0,66.66666666666666,12,1,14868.40675826525,10591.35063779911,12.807784581265889,11.367215703828789,27.911501113853348,14.444507190486721,13.972501226020748,1.1915040394054515,-7425.620463278062,58.333333333333336,83.33333333333334,True,False
3426,台興,電機機械,12,1,9370.740209157828,7789.039832747251,17.589390932256883,9.870912733800633,38.73984915550211,15.21324079580966,15.842684115594805,0.7899367422286412,4956.211946631567,25.0,41.66666666666667,12,1,9200.46565263268,7599.616622921722,17.23876865279813,9.942396272384354,37.621410127468785,14.843266965238744,15.5726719487544,0.7699278367588764,4822.834983504566,25.0,50.0,12,1,11501.859467322967,9558.345544167736,20.843369761892554,14.492689141255747,48.80580040780187,18.66897788372071,18.3374807761754,0.9766875504526057,6156.604614774558,33.33333333333333,50.0,False,True
2104,國際中橡,橡膠工業,12,1,217465.61434576378,194446.97696445315,15.149186038539082,16.003088697507923,26.265497392178816,15.216577599155556,14.820948112857838,0.4069296648592915,11233.439454655492,41.66666666666667,100.0,12,1,225660.2214343925,200916.56927773435,15.602353424083054,16.63795995759283,26.520088425108916,15.7228598515556,15.313028683207994,0.4206425827537492,8457.321187547166,41.66666666666667,100.0,12,1,179911.95355523776,153243.52036551185,12.307267954360789,12.039887246418688,24.005813382208842,11.99217367949037,11.808853871551474,0.3199157680350108,36218.503858630276,41.66666666666667,100.0,True,False
8488,吉源-KY,其他,12,1,63375.191868290385,39147.47908343288,15.565570435304796,10.382789673527009,23.80819888357781,15.243237413985828,13.724282076030306,0.47440166848761783,10397.644949209176,41.66666666666667,83.33333333333334,12,1,68492.04716032307,41571.460609416004,16.617102894228246,10.102693429448498,24.639709955642324,16.18708684574434,14.49169676415095,0.5031291147115491,11474.735130455412,41.66666666666667,83.33333333333334,12,1,26203.27923509887,19311.380805428937,7.210325962674552,6.0045987748418534,15.782484823532858,7.5194615158148945,7.110931612088474,0.23890573121996195,703.8333179929565,58.333333333333336,100.0,True,False
2305,全友,電腦及週邊設備業,12,1,10594.836590483157,9484.635421563813,15.353811902220786,16.48779677115801,26.921154669154202,15.248916451799776,15.610235333787498,0.8447142376003088,-1856.3867000026555,58.333333333333336,50.0,12,1,10899.942499725583,9706.862880606997,15.718136450653075,16.602481398131612,26.786497457131254,15.606202505045516,15.929331842282455,0.8643828509660301,-1903.621689331956,58.333333333333336,50.0,12,1,10306.714281744953,8854.639698089386,14.448990416102339,12.801805248042752,21.562410916973572,14.236041235699087,14.827119713705676,0.7887121072328517,-1431.2717960389552,58.333333333333336,41.66666666666667,True,False
3530,晶相光,電子工業,12,1,26842.289465398,23506.883692796244,15.189752914358332,15.936504669284929,21.172489746668376,15.286188221569375,16.112190251850404,0.26097717149516453,-11681.842259937941,66.66666666666666,58.333333333333336,12,1,29091.026325451945,25268.4100931638,16.393295357443684,16.178481245978844,26.725857520599156,16.431683492877237,17.534572745786132,0.28030796677461906,-12335.980079798324,66.66666666666666,58.333333333333336,12,1,22548.429991873505,18119.074704004994,12.66616013835,12.420032358642363,26.05896423313959,11.782573562099834,12.89772985268057,0.19712848703245192,-5794.601881194564,58.333333333333336,75.0,True,False
3564,其陽,通信網路業,12,1,38122.68223262455,31824.988644966757,17.151723075168167,11.341165053985732,43.45083874828844,15.294372267300432,15.95443880126624,0.6984203565808961,1905.4294154972692,50.0,100.0,12,1,39937.882227363894,33116.167236573725,17.965025150372004,11.157652599033979,47.84665842205368,15.914883597686366,16.614888329885368,0.7264155903407924,1883.5679881702574,58.333333333333336,83.33333333333334,12,1,30390.33210079011,22328.89935007216,10.770290693483037,4.382295343198196,22.5003423117684,10.730765776191308,10.43928449464601,0.49412255428297563,2102.182261440327,58.333333333333336,91.66666666666666,True,False
