model,observations,stock_count,RMSE,MAE,MAPE,MedianAPE,P90APE,WMAPE,SMAPE,MASE,Bias,UnderestimateRate,DirectionAccuracy
營收調整公式,19620,1635,2419606.3439048687,255806.2717507447,19.78850656835428,9.804773505282823,36.48732924268126,10.338212639726363,16.056759150871283,0.6225538638310493,-41263.95707842736,49.1539245667686,63.00203873598369
SARIMA,19620,1635,2260051.261135704,240320.67970747728,17.751176092519717,9.819797774033333,35.418100618850715,9.712374413401143,15.74480247023432,0.617155997763151,-28779.19684344428,47.87461773700306,65.75942915392457
SARIMA＋營收公式,19620,1635,2345661.68318691,249143.2312682861,19.26454397506532,9.582279911584815,35.67571551808169,10.068931011628198,15.729110112103662,0.6087576936434448,-40015.481054929005,48.84301732925586,64.00101936799184
混合模型（含自動退回）,22883,1958,2226479.823260742,245528.8480768742,556.2382946526812,10.392383809604457,44.76341214816152,11.086769579328413,19.952443883270778,0.799123912220148,-37493.339144209815,49.17624437355242,61.38618188174627
