target_month,model,observations,stock_count,RMSE,MAE,MAPE,MedianAPE,P90APE,WMAPE,SMAPE,MASE,Bias,UnderestimateRate,DirectionAccuracy
1,營收調整公式,1635,1635,2169090.8010631716,280454.9466768843,27.821834473650892,13.839501080201574,51.3529093012859,12.91457231458315,19.937225782829895,0.8086334931443006,140384.00980976957,31.07033639143731,66.97247706422019
1,SARIMA,1635,1635,1857027.9808105556,244580.39483826357,20.619548259043523,10.601318754083117,38.05224845438648,11.262597551924005,16.820669196932204,0.6434275165025093,52649.947864084934,45.50458715596331,76.3302752293578
1,SARIMA＋營收公式,1635,1635,2084647.8759365815,268161.94438912213,26.655472777581252,13.2851570839805,48.27195829017617,12.348496126982333,19.268972421893427,0.7743127462878926,131610.60361520117,31.55963302752294,69.48012232415903
2,營收調整公式,1635,1635,2835924.7037564428,252627.12097897107,25.001080295241312,12.665546102494698,38.13152867202431,11.971862051184855,18.83656638110385,0.6798286466872329,-119262.50595168273,60.0611620795107,63.30275229357798
2,SARIMA,1635,1635,3891117.4574493086,303281.03025269706,24.870606580432185,14.429319749997058,38.11440725749134,14.37232329947957,20.59675206903067,0.7332404463197035,-231290.64340228532,71.74311926605505,65.3822629969419
2,SARIMA＋營收公式,1635,1635,2929884.622910473,253563.4126834802,24.622251170070957,12.490164181342324,37.1478137254215,12.016232406523644,18.652091856724272,0.6711185911639492,-130465.31969674295,61.52905198776758,63.97553516819572
3,營收調整公式,1635,1635,2055373.7514100303,267260.2386319025,18.045549254626923,10.411127601454883,34.16162538581597,11.04557816415008,16.979162980815445,0.663474818375894,-146470.04857840211,68.56269113149847,76.69724770642202
3,SARIMA,1635,1635,1511874.3593389005,228213.39542403218,17.966848523540573,10.902900015461755,37.08764226189841,9.431814138032198,16.249784228218587,0.6551220592857145,-18009.96313836678,40.550458715596335,80.36697247706422
3,SARIMA＋營收公式,1635,1635,1947831.1607318807,252640.83248038893,17.38161829629642,9.730919446176722,32.661911139166136,10.441373834367953,16.230971730094364,0.6337011567899159,-133624.04003439852,66.42201834862385,78.34862385321101
4,營收調整公式,1635,1635,2008411.8345861726,237006.00831393801,18.917878612395395,8.416888557019915,34.85749109539411,9.756749545890111,15.043397542094247,0.5626103532941266,-9780.595512838308,43.425076452599384,62.93577981651376
4,SARIMA,1635,1635,2469418.4480364937,245819.6789596341,17.19673870292027,9.02945977889278,33.691510865846766,10.119579069418961,14.968078152795359,0.5723831299587241,-89969.28440029567,52.11009174311927,64.83180428134557
4,SARIMA＋營收公式,1635,1635,2015857.0775682474,233464.89061203998,18.391211921393385,8.354639648203205,34.063665293438596,9.61097350090406,14.719102516431231,0.549951043898343,-17799.464401584013,44.22018348623853,63.30275229357798
5,營收調整公式,1635,1635,2672740.1395702274,308829.0373453223,26.034870534897802,11.300812840804396,37.11175274474042,12.966930448683861,16.366220041513067,0.6471680190977451,109124.03337599033,31.43730886850153,49.78593272171254
5,SARIMA,1635,1635,2313260.68036278,258360.56895996234,18.218471324534423,10.284054608123643,36.272460378787486,10.847890331763729,15.588161473347453,0.6212285903404525,44451.07758309238,33.149847094801224,56.69724770642202
5,SARIMA＋營收公式,1635,1635,2573288.6648547444,299133.02513466077,25.047250044439735,11.011879124632424,37.10019326297962,12.559820038840327,16.11958138183967,0.6361990491384036,102656.73779670062,30.886850152905197,50.03058103975535
6,營收調整公式,1635,1635,2468104.7489947067,271281.56578438886,17.333691526296118,9.27921250142006,33.31379102100658,11.563621265161071,14.913008336543967,0.5745046371253599,60033.7407186516,45.198776758409785,59.26605504587156
6,SARIMA,1635,1635,1407418.3921389491,222987.42981084483,16.787931518229396,9.408006829861598,34.93520784674528,9.505040188663942,15.353457585770458,0.5969828719714444,76374.06179985471,43.97553516819572,61.22324159021407
6,SARIMA＋營收公式,1635,1635,2320983.683470022,262788.2039764673,16.983239423552728,8.940740699401866,33.22620689936847,11.2015840624827,14.680937717117557,0.5657166335330803,61667.772826771965,44.464831804281346,60.550458715596335
7,營收調整公式,1635,1635,1432548.3106809852,204924.6240869843,16.557004983826886,8.60560386995487,32.87204236395561,8.56521863219784,14.344111749930406,0.5372365805032384,28911.25771500926,43.05810397553517,64.22018348623854
7,SARIMA,1635,1635,1715388.1927561811,208179.77710299726,15.774439741541165,8.653485704853967,32.58661841662122,8.701274010547953,14.25236717053494,0.5548998701228157,79882.90436632645,39.75535168195719,65.68807339449542
